Serial number,Barcode,Product name,Brand,Serving size (g),Sugar per serving (g),Saturated fat per serving (g),Sodium per serving (mg),Protein per serving (g),Fiber per serving (g),Calories per serving (kcal),Scores
103,8908001705806,Paper Boat Chilli Guvava,Paper boat,100 g,2.3 g,0 g,93.3 mg,0.5 g,0 g,12.4 kcal,
104,8908001705745,Paper Boat Thandai,Paper boat,100 g,17.5 g,1.1 g,33 mg,4.4 g,1 g,113 kcal,
105,8904063230256,Haldiram's Ready to eat Paneer Makhini,Haldiram's,100 g,6.18 g,3.45 g,608 mg,8.7 g,0 g,218 kcal,
106,8904063231253,Haldiram's Ready to eat Dal Makhini,Haldiram,100 g,1.47 g,5.19 g,538 mg,4.17 g,0 g,137 kcal,
107,8904063281562,Haldirams Ready to Eat Punjabi Choley,Haldiram,100 g,3.82 g,3.8 g,854.6 mg,5.26 g,0 g,139 kcal,
108,8904063239259,Haldiram's ready to eat Pav bhaji,Haldiram,100 g,2.4 g,5.1 g,421 mg,2.3 g,0 g,159 kcal,
109,8901042957319,MTR ready to eat paneer butter masala,MTR,100 g,8.5 g,2.5 g,373 mg,3.5 g,1 g,106 kcal,
110,8906059635021,Epigamia Sugar free strawberry greek yogurt,Epigamia,100 g,11.1 g,1.1 g,51 mg,6.2 g,NULL,89 kcal,
111,8906059636349,Epigamia Sugar free alphanso mango greek yogurt,Epigamia,100 g,8.2 g,1.1 g,49.4 mg,6.2 g,NULL,134 kcal,
112,8906059636325,Epigamia mixed berries sugar free greek yogurt,Epigamia,100 g,4.7 g,1.1 g,54 mg,6.3 g,NULL,80 kcal,
113,8908024977600,SuperYOu protein multigrain sour cream & onion chips,SuperYou,100 g,0.1 g,0.45 g,700 mg,25 g,7.5 g,417.5 kcal,
114,8906090570848,Too Yumm Veg Stix - Sour cream & onion,Too Yumm,100 g,5.4 g,5.1 g,750 mg,5.8 g,1 g,478 kcal,
115,80884,Noice Kerela Nendran Banana Chips,Noice,100 g,0 g,19 g,684 mg,1.88 g,NULL,477 kcal,
116,675337,Noice Peri peri moong dal chips,Noice,100 g,5 g,6.79 g,1792 mg,10.6 g,NULL,519 kcal,
117,8901491100205,Red Rock Deli Baked Chips - Risotto,Red Rock Deli,100 g,6.7 g,3 g,421 mg,6.4 g,NULL,470 kcal,
118,8906160650661,Mr Makana Peri peri paradise,Mr Makhana,100 g,0.5 g,9.21 g,150 mg,8.94 g,2.9 g,473 kcal,
119,8906160650685,Mr Makhana Pudina Party Makhana,Mr Makhana,100 g,0.5 g,6.9 g,190 mg,7.65 g,2.45 g,514 kcal,
120,8906160650647,Mr Makhana Himalayan Salt & pepper,Mr Makhana,100 g,4.52 g,3.55 g,930 mg,7.3 g,2.95 g,519.94 kcal,
121,420730,Noice sweet and salty biscuits,Noice,100 g,16.26 g,16 g,15.97 mg,6.82 g,NULL,502 kcal,
122,8909081013072,Sunfeast farmlite sugar free choco chip cookie,Sunfeast,100 g,0.5 g,14 g,221.2 mg,7.9 g,NULL,495 kcal,
123,8901063325920,Britannia Toast,Britannia,100 g,20.8 g,3.7 g,213 mg,9.2 g,NULL,432 kcal,
124,7622202308659,Lotus Biscoff biscuit cookie family pack,Lotus Biscoff,100 g,36 g,8 g,369 mg,6 g,0 g,476 kcal,
125,7622202836619,Oreo Golden sandwhich cookie,Oreo,100 g,37 g,10 g,282 mg,4 g,0 g,492 kcal,
126,8906074829566,Karachi bakery fruit atta biscuit,Karachi bakery,100 g,17.69 g,22.7 g,77.8 mg,6.6 g,5.45 g,498 kcal,
127,8906033746255,Digestive Cream Biscuit,McVitie's style,100 g,30 g,11.3 g,341.7 mg,6.4 g,4 g,500 kcal,
128,8901719135330,Parle Monaco Cheeselings,Parle,100 g,3.5 g,9.6 g,NULL,8.8 g,0 g,492 kcal,
129,8909081005428,Sunfeast dark fantasy chocolate milkshake,Sunfeast,100 g,17 g,3 g,105 mg,3 g,0 g,110 kcal,
130,8901262152211,Amul kool kesar,Amul,100 g,8 g,2 g,NULL,3.2 g,0 g,89 kcal,
131,8901071732413,Hershey's chocolate milkshake,Hershey's,100 g,11.8 g,2.2 g,NULL,2.19 g,0 g,92.33 kcal,
132,8901071732437,Hershey's strawberry milkshake,Hershey's,100 g,11.8 g,1.6 g,NULL,2 g,0 g,86.4kcal,
133,8901063146921,Britannia Vanilla milk,Britannia,100 g,14 g,2.5 g,57 mg,2.77 g,0 g,105 kcal,
134,8901071732468,Hershey's Vanila milkshake,Hershey's,100 g,11.8 g,1.6 g,NULL,2 g,0 g,86.4 kcal,
135,8901499010513,Kellog's fruit nut and seed museli,Kellog's,100 g,21 g,1 g,140 mg,8 g,6.4 g,385 kcal,
136,8908006217083,Slurrp farm millet pancake - chocochip banana mix,Slurrp Farm,100 g,29.25 g,2 g,264 mg,7 g,6 g,400 kcal,
137,8906131682417,Slurrp farm millet noodles-magic masala ,Slurrp Farm,100 g,2.33 g,0.1 g,1463 mg,10.3 g,12.3 g,326 kcal,
138,8906090573689,Too Yumm bikaneri bhujia namkeen,Too Yumm,100 g,2 g,10.3 g,930 mg,9.9 g,NULL,584 kcal,
139,8904063231796,Haldiram's Navrattan mixture,Haldiram,100 g,2.7 g,7.2 g,798.5 mg,20.3 g,3.5 g,518.7 kcal,
140,8906161390955,Let's Try Kerela garlic mixture,Let's Try,100 g,0.5 g,9.2 g,659 mg,11.2 g,NULL,575 kcal,
141,8906090574198,Too Yumm Bhujia,Too Yumm,12 g,0 g,1.3 g,130 mg,1.4 g,NULL,72 kcal,
142,407479,Noice Agra dal moth namkeen,Noice,100 g,0 g,10 g,349 mg,7 g,NULL,593 kcal,
143,813940,Noice aaloo ke lacche namkeen,Noice,100 g,0 g,13.03 g,616 mg,6 g,NULL,596 kcal,
144,8906090573658,Too Yumm Mong dal,Too Yumm,100 g,2 g,4.5 g,400 mg,21.7 g,NULL,469 kcal,
145,8906161390719,Let's Try roasted channa,Let's Try,100 g,3.4 g,0.5 g,50 mg,22.5 g,12 g,375 kcal,
